"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
377,65545,2,1605917476,1,"efd275",50,"2020-11-21T14:23:21.000Z"
378,65547,2,1605968528,0,"f1e0b5",8,"2020-11-21T14:23:21.000Z"
379,65546,2,1605968520,0,"f1e0b5",8,"2020-11-21T14:23:29.000Z"
380,65547,2,1605968528,0,"f1e0b5",8,"2020-11-21T14:23:29.000Z"
381,65546,2,1605968520,0,"f1e0b5",8,"2020-11-21T14:23:29.000Z"
382,65547,2,1605968528,0,"f1e0b5",8,"2020-11-21T14:23:29.000Z"
383,65545,2,1605917476,0,"efd275",50,"2020-11-21T14:23:29.000Z"
384,65546,2,1605968520,1,"f1e0b5",8,"2020-11-21T14:23:31.000Z"
385,65547,2,1605968528,1,"f1e0b5",8,"2020-11-21T14:23:31.000Z"
386,65545,2,1605917476,1,"efd275",50,"2020-11-21T14:23:31.000Z"
387,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:15.000Z"
388,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:16.000Z"
389,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:16.000Z"
390,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:16.000Z"
391,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
392,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
393,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
394,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
395,65555,2,1605968652,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
396,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:24:17.000Z"
397,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:24:18.000Z"
398,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:24:38.000Z"
399,65555,2,1605968656,0,"f1e0b5",22,"2020-11-21T14:24:41.000Z"
400,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:24:43.000Z"
401,65555,2,1605968656,0,"f1e0b5",22,"2020-11-21T14:25:00.000Z"
402,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:25:32.000Z"
403,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:28:11.000Z"
404,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:28:28.000Z"
405,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:28:28.000Z"
406,65555,2,1605968656,1,"f1e0b5",22,"2020-11-21T14:28:29.000Z"
407,65555,2,1605968903,1,"f1e0b5",22,"2020-11-21T14:28:34.000Z"
408,65555,2,1605968903,1,"f1e0b5",22,"2020-11-21T14:28:36.000Z"
409,65555,2,1605968907,1,"f1e0b5",22,"2020-11-21T14:28:38.000Z"
410,65555,2,1605968907,1,"f1e0b5",22,"2020-11-21T14:30:48.000Z"
411,65555,2,1605969042,1,"f1e0b5",22,"2020-11-21T14:30:53.000Z"
412,65555,2,1605969042,1,"f1e0b5",22,"2020-11-21T14:31:02.000Z"
413,65540,2,1605969185,0,"f1e0b5",100,"2020-11-21T14:33:16.000Z"
414,65555,2,1605969042,1,"f1e0b5",22,"2020-11-21T14:40:10.000Z"
415,65555,2,1605969042,1,"f1e0b5",22,"2020-11-21T14:40:11.000Z"
416,65555,2,1605969605,1,"f1e0b5",22,"2020-11-21T14:40:16.000Z"
417,65555,2,1605969605,1,"f1e0b5",22,"2020-11-21T14:40:21.000Z"
418,65555,2,1605969605,1,"f1e0b5",22,"2020-11-21T14:40:26.000Z"
419,65547,2,1605969616,1,"f1e0b5",8,"2020-11-21T14:40:27.000Z"
420,65547,2,1605969616,1,"f1e0b5",8,"2020-11-21T14:40:29.000Z"
421,65547,2,1605969616,1,"f1e0b5",8,"2020-11-21T14:40:29.000Z"
422,65547,2,1605969616,1,"f1e0b5",8,"2020-11-21T14:40:29.000Z"
423,65547,2,1605969620,1,"f1e0b5",8,"2020-11-21T14:40:31.000Z"
424,65546,2,1605969624,1,"f1e0b5",8,"2020-11-21T14:40:35.000Z"
425,65546,2,1605969624,1,"f1e0b5",8,"2020-11-21T14:40:36.000Z"
426,65555,2,1605969605,1,"f1e0b5",22,"2020-11-21T14:40:38.000Z"
427,65546,2,1605969627,1,"f1e0b5",8,"2020-11-21T14:40:38.000Z"
428,65555,2,1605969605,1,"f1e0b5",22,"2020-11-21T14:40:39.000Z"
429,65555,2,1605969633,1,"f1e0b5",22,"2020-11-21T14:40:44.000Z"
430,65555,2,1605969633,1,"f1e0b5",22,"2020-11-21T14:40:45.000Z"
431,65555,2,1605969636,1,"f1e0b5",22,"2020-11-21T14:40:47.000Z"
432,65555,2,1605969636,1,"f1e0b5",22,"2020-11-21T15:00:08.000Z"
433,65555,2,1605970800,1,"f1e0b5",22,"2020-11-21T15:00:11.000Z"
434,65555,2,1605970800,1,"f1e0b5",22,"2020-11-21T15:00:13.000Z"
435,65555,2,1605970804,1,"f1e0b5",22,"2020-11-21T15:00:15.000Z"
436,65547,2,1605970808,1,"f1e0b5",8,"2020-11-21T15:00:19.000Z"
437,65547,2,1605970808,1,"f1e0b5",8,"2020-11-21T15:00:21.000Z"
438,65547,2,1605970808,1,"f1e0b5",8,"2020-11-21T15:00:21.000Z"
439,65547,2,1605970811,1,"f1e0b5",8,"2020-11-21T15:00:23.000Z"
440,65546,2,1605970815,1,"f1e0b5",8,"2020-11-21T15:00:26.000Z"
441,65546,2,1605970815,1,"f1e0b5",8,"2020-11-21T15:00:28.000Z"
442,65546,2,1605970815,1,"f1e0b5",8,"2020-11-21T15:00:28.000Z"
443,65546,2,1605970815,1,"f1e0b5",8,"2020-11-21T15:00:28.000Z"
444,65546,2,1605970819,1,"f1e0b5",8,"2020-11-21T15:00:30.000Z"
445,65555,2,1605970804,1,"f1e0b5",22,"2020-11-21T15:17:04.000Z"
446,65555,2,1605971816,1,"f1e0b5",22,"2020-11-21T15:17:07.000Z"
447,65555,2,1605971816,1,"f1e0b5",22,"2020-11-21T15:17:09.000Z"
448,65555,2,1605971819,1,"f1e0b5",22,"2020-11-21T15:17:11.000Z"
449,65547,2,1605971823,1,"f1e0b5",8,"2020-11-21T15:17:14.000Z"
450,65547,2,1605971823,1,"f1e0b5",8,"2020-11-21T15:17:16.000Z"
451,65547,2,1605971823,1,"f1e0b5",8,"2020-11-21T15:17:17.000Z"
452,65547,2,1605971827,1,"f1e0b5",8,"2020-11-21T15:17:18.000Z"
453,65546,2,1605971831,1,"f1e0b5",8,"2020-11-21T15:17:22.000Z"
454,65546,2,1605971831,1,"f1e0b5",8,"2020-11-21T15:17:23.000Z"
455,65546,2,1605971831,1,"f1e0b5",8,"2020-11-21T15:17:24.000Z"
456,65546,2,1605971834,1,"f1e0b5",8,"2020-11-21T15:17:25.000Z"
457,65555,2,1605971819,1,"f1e0b5",22,"2020-11-21T15:18:33.000Z"
458,65555,2,1605971907,1,"f1e0b5",22,"2020-11-21T15:18:38.000Z"
459,65555,2,1605971907,1,"f1e0b5",22,"2020-11-21T15:18:40.000Z"
460,65555,2,1605971910,1,"f1e0b5",22,"2020-11-21T15:18:41.000Z"
461,65547,2,1605971914,1,"f1e0b5",8,"2020-11-21T15:18:45.000Z"
462,65547,2,1605971914,1,"f1e0b5",8,"2020-11-21T15:18:47.000Z"
463,65547,2,1605971914,1,"f1e0b5",8,"2020-11-21T15:18:48.000Z"
464,65547,2,1605971918,1,"f1e0b5",8,"2020-11-21T15:18:49.000Z"
465,65546,2,1605971922,1,"f1e0b5",8,"2020-11-21T15:18:53.000Z"
466,65546,2,1605971922,1,"f1e0b5",8,"2020-11-21T15:18:55.000Z"
467,65546,2,1605971922,1,"f1e0b5",8,"2020-11-21T15:18:55.000Z"
468,65546,2,1605971922,1,"f1e0b5",8,"2020-11-21T15:18:55.000Z"
469,65546,2,1605971925,1,"f1e0b5",8,"2020-11-21T15:18:56.000Z"
470,65556,2,1605972741,1,"f1e0b5",22,"2020-11-21T15:32:34.000Z"
471,65556,2,1605972741,1,"f1e0b5",22,"2020-11-21T15:32:36.000Z"
472,65556,2,1605972741,1,"f1e0b5",22,"2020-11-21T15:32:36.000Z"
473,65556,2,1605972741,1,"f1e0b5",22,"2020-11-21T15:32:36.000Z"
474,65556,2,1605972741,1,"f1e0b5",22,"2020-11-21T15:32:36.000Z"
475,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:36.000Z"
476,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:37.000Z"
477,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:37.000Z"
478,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:37.000Z"
479,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:38.000Z"
480,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:38.000Z"
481,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:38.000Z"
482,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:32:38.000Z"
483,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:03.000Z"
484,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:03.000Z"
485,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:03.000Z"
486,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:03.000Z"
487,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:04.000Z"
488,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:04.000Z"
489,65557,2,1605972760,1,"f1e0b5",22,"2020-11-21T15:33:04.000Z"
490,65557,2,1605972763,1,"f1e0b5",22,"2020-11-21T15:33:05.000Z"
491,65556,2,1605972745,0,"f1e0b5",22,"2020-11-21T15:33:42.000Z"
492,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:33:43.000Z"
493,65557,2,1605972763,0,"f1e0b5",22,"2020-11-21T15:33:44.000Z"
494,65557,2,1605972763,1,"f1e0b5",22,"2020-11-21T15:33:45.000Z"
495,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:34:08.000Z"
496,65557,2,1605972763,1,"f1e0b5",22,"2020-11-21T15:34:15.000Z"
497,65556,2,1605972745,0,"f1e0b5",22,"2020-11-21T15:34:21.000Z"
498,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:34:22.000Z"
499,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:34:35.000Z"
500,65557,2,1605972763,1,"f1e0b5",22,"2020-11-21T15:34:42.000Z"
501,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:34:46.000Z"
502,65556,2,1605972745,0,"f1e0b5",22,"2020-11-21T15:34:58.000Z"
503,65556,2,1605972745,1,"f1e0b5",22,"2020-11-21T15:34:59.000Z"
